County,County Code,Deaths,Population,Crude Rate
"Ellsworth County, KS",20053,Suppressed,6196,Suppressed
"Finney County, KS",20055,Suppressed,36611,Suppressed
"Ford County, KS",20057,Suppressed,33888,Suppressed
"Franklin County, KS",20059,Suppressed,25631,Suppressed
"Geary County, KS",20061,Suppressed,32594,Suppressed
"Gove County, KS",20063,Suppressed,2612,Suppressed
"Graham County, KS",20065,Suppressed,2492,Suppressed
"Grant County, KS",20067,Suppressed,7336,Suppressed
"Gray County, KS",20069,Suppressed,6033,Suppressed
"Greeley County, KS",20071,Suppressed,1227,Suppressed
"Greenwood County, KS",20073,Suppressed,6055,Suppressed
"Hamilton County, KS",20075,Suppressed,2607,Suppressed
"Harper County, KS",20077,Suppressed,5506,Suppressed
"Harvey County, KS",20079,Suppressed,34210,Suppressed
"Haskell County, KS",20081,Suppressed,3997,Suppressed
"Hodgeman County, KS",20083,Suppressed,1818,Suppressed
"Jackson County, KS",20085,Suppressed,13280,Suppressed
"Jefferson County, KS",20087,Suppressed,18975,Suppressed
"Jewell County, KS",20089,Suppressed,2841,Suppressed
"Johnson County, KS",20091,37,597555,6.2
"Kearny County, KS",20093,Suppressed,3943,Suppressed
